ID,Candidate State,Age Range,Sex,Protected category,Study area,Study Title,Years Experience,Sector,Year of insertion,Year of Recruitment,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,City,Province,Region
23732,In selection,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[1-3],Automotive,2020,,,,,,,,,,,,,GRUGLIASCO,Turin,Piedmont
23733,Imported,26 - 30 years,Female,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
23736,In selection,20 - 25 years,Male,,Other,High school graduation,[1-3],Energy,2022,,,,,,,,,,,,,RONCELLO,Monza-Brianza,Lombardy
23740,In selection,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],Others,2023,,,,,,,,,,,Not available,Not available,FRANCAVILLA FONTANA,Brindisi,Puglia
23765,In selection,26 - 30 years,Female,,Management Engineering,Five-year degree,[1-3],Others,2022,,,,,,,,,,,,,TEVEROLA,Caserta,Campania
23766,First contact,36 - 40 years,Male,,Mechanical engineering,Three-year degree,[+10],Oil and Gas,2021,,,,,,,,,,,,,FANO,Pesaro-Urbino,Marche
23774,First contact,> 45 years,Male,,Other,High school graduation,[+10],Others,2022,,,,,,,,,,,,,MARANO DI NAPLES,Naples,Campania
23779,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,RAVENNA,Ravenna,Emilia Romagna
23800,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,CUNEO,Cuneo,Piedmont
23802,Imported,20 - 25 years,Male,,Electrical Engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
23810,Imported,26 - 30 years,Male,,Information Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,VETRALLA,Viterbo,Lazio
23818,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,SAN VITALIANO,Naples,Campania
23823,In selection,36 - 40 years,Female,,industrial engineering,Five-year degree,[7-10],Others,2021,,,,,,,,,,,,,MILAN,Milan,Lombardy
23825,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0-1],,2021,,,,,,,,,,,,,ALTAMURA,Bari,Puglia
23829,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,FRANCAVILLA AL MARE,Chieti,Abruzzo
